message,persuasive_type,activity,response
"By maintaining meal planning, you'll feel better.

In fact, your health can't be improved by a lack of food, so you need to reduce your intake of healthy foods. You can choose to go without meals or not. Try to",reward,meal planning,1
"Great job with your healthy eating!

You might also like",praise,healthy eating,1
"By maintaining healthy eating, you'll feel better.

What's your favourite way to start?
. . .
…
""The only thing I've noticed about this diet is that it actually works."" —Carolyn Wachter
",reward,healthy eating,1
"Great job with your water intake!


This one is very much a great idea! I used my 1/2"" HVAC line to run the tubing over the line and put some 1mm tubing in. I didn't want to get",praise,water intake,1
"Don't forget to monitor your meal planning.

1. Choose the day you are going to eat and how long. In the morning you may want to skip breakfast and lunch and skip lunch. You may also want a meal plan that is a",reminder,meal planning,1
"Don't forget to monitor your meal planning.

1. Choose the day you are going to eat and how long. In the morning you may want to skip breakfast and lunch and skip lunch. You may also want a meal plan that is a",reminder,meal planning,1
"By maintaining meal planning, you'll feel better.

As you eat more, your body will grow and you will feel healthier. And by eating more you can maintain your weight.


How to Weight Loss
. This is the most important",reward,meal planning,1
"Don't forget to monitor your meal planning.

1. Choose the day you are going to eat and how long. In the morning you may want to skip breakfast and lunch and skip lunch. You may also want a meal plan that is a",reminder,meal planning,0
"Don't forget to monitor your meal planning.

1. Choose the day you are going to eat and how long. In the morning you may want to skip breakfast and lunch and skip lunch. You may also want a meal plan that is a",reminder,meal planning,0
"Don't forget to monitor your meal planning.

1. Choose the day you are going to eat and how long. In the morning you may want to skip breakfast and lunch and skip lunch. You may also want a meal plan that is a",reminder,meal planning,1
"Don't forget to monitor your meal planning.

1. Choose the day you are going to eat and how long. In the morning you may want to skip breakfast and lunch and skip lunch. You may also want a meal plan that is a",reminder,meal planning,1
"Don't forget to monitor your healthy eating.

What to Avoid
 (1) Eat like a champ. The only way to avoid eating like you're an idiot is to be a little more creative. If you can't stand your own eating",reminder,healthy eating,1
"Don't forget to monitor your meal planning.

1. Choose the day you are going to eat and how long. In the morning you may want to skip breakfast and lunch and skip lunch. You may also want a meal plan that is a",reminder,meal planning,1
"Don't forget to monitor your water intake.

Pour in your toilet bowl and brush it with a little water. Then, scrub it clean with your finger or a sponge. It will help you flush easily. If you have a problem with",reminder,water intake,1
